geoid,num_lines,bstp_has_bkrs,shelter,bstp_bnh_cnt,school_stop,bstp_geo_id,st_abbrev,pm25,aadt,transit_comm,walk_comm,time_comm,car_alone_comm,carpool_comm,total_bike_lanes,bikelane_protected,bikelane_dual_protected,shared_mobility,taxi_capacity,limo_capacity,restrict1,restrict2,local_deliv,density_score,four_way_intersection_ratio,sidewalk_score,pfi_score,name,poverty_est,race_white,race_black_aa,race_asian,race_hispanic,utc_pct
11001000101,0,0,0,0.5555555555555556,0,9,DC,8.64571342465753,6853.571552695151,87,139,19,290,51,1,0,0,0,0,0,1,1,1,0.7876530984615384,0.5177935723076923,0.07229265230769231,1.059875223076923,0,0,0,0,0,0,36.146
11001000102,0,0,0,0.9230769230769231,0,26,DC,8.64571342465753,8597.866586342987,168,311,25.4,641,18,11,0,0.375,6,15,2,5,5,5,1.008689831772152,0.449372025443038,0.06170303392405063,1.218345531392405,0,0,0,0,0,0,34.564492753623185
11001000201,0,0,0.2,0.4,0,5,DC,8.64910383561644,2880.9848095534817,57,743,13.6,77,106,0,0,0,44,0,0,0,0,0,0.46808361400000004,0.39928631800000003,0.041924866,0.737589652,"Census Tract 2.01, District of Columbia, District of Columbia",0,2659,294,506,11.8,24.61
11001000202,0,0,0.0476190476190476,1,0,21,DC,8.64748767123288,8441.83491655393,298,841,22.7,678,71,50,0,0.15,5,0,0,18,18,18,0.8230040579411765,0.4078331927941176,0.0581072044117647,1.1518442248529412,"Census Tract 2.02, District of Columbia, District of Columbia",0,3680,327,226,8.1,34.26870967741935
11001000300,0,0,0.047619047619047596,0.8571428571428571,0,21,DC,8.65779698630137,2673.9223708347818,376,470,28,1445,269,0,0,0,1,0,0,1,1,1,0.4914958425,0.34911241854166664,0.06253186291666667,0.847076229375,"Census Tract 3, District of Columbia, District of Columbia",2.6,5230,467,513,4.6,39.96738095238095
11001000400,0,0.0909090909090909,0.2727272727272727,0.8636363636363636,0,22,DC,8.66412246575342,3527.1503146336963,42,51,23,331,33,10,0,0,3,0,0,29,29,29,0.48488491865384614,0.16954985903846154,0.06126064596153846,0.7141096978846154,"Census Tract 4, District of Columbia, District of Columbia",8.6,1202,62,146,17.7,52.934444444444445
11001000501,1,0.0909090909090909,0.45454545454545453,0.8181818181818182,0,11,DC,8.66756575342466,7742.260681611807,932,198,28,620,23,13,0,0,1,10,0,2,2,2,0.6208753844827586,0.12799395862068966,0.03607271310344828,0.5698807444827586,"Census Tract 5.01, District of Columbia, District of Columbia",5,3073,176,128,14.1,49.38578947368421
11001000502,0,0.0909090909090909,0.0909090909090909,0.7272727272727273,0,11,DC,8.66734931506849,2976.8992529887264,667,122,26.5,576,23,7,0,0,0,0,0,19,19,19,0.43098437954545454,0.21462260954545453,0.07106916545454546,0.7115752563636364,"Census Tract 5.02, District of Columbia, District of Columbia",0,2855,120,128,14.9,48.50473684210526
11001000600,0,0,0.19230769230769232,0.8846153846153846,0,26,DC,8.6734295890411,3818.3514341461937,787,79,28,835,191,8,0,0,0,0,0,15,15,15,0.49418522,0.26961200195652174,0.07342953282608695,0.8026809639130434,"Census Tract 6, District of Columbia, District of Columbia",1.8,4086,386,288,15.5,52.42886363636364
11001000702,0,0.125,0.375,0.75,0,8,DC,8.65843808219178,3935.5196679804603,654,332,26.1,734,96,8,0,0,0,0,0,0,0,0,0.5224335221428571,0.3873449135714286,0.06475617714285714,0.8801140171428572,"Census Tract 7.02, District of Columbia, District of Columbia",0,2556,189,319,11,43.596363636363634
11001000703,0,0,0.2857142857142857,0.7142857142857143,0,7,DC,8.67457369863014,3451.4196322360776,402,209,28.7,760,81,3,0,0,0,0,0,1,1,1,0.49649641125,0.3326302425,0.060842126249999996,0.78517733875,0,0,0,0,0,0,45.572500000000005
11001000704,0,0.14285714285714288,0.7142857142857143,0.8571428571428571,0,7,DC,8.67457369863014,6326.299180748139,397,90,31,631,84,0,0,0,0,0,0,0,0,0,0.5795729694444445,0.35311957666666666,0.07454729611111112,0.9155205022222223,0,0,0,0,0,0,44.1715
11001000802,0,0,0.1,0.8,0,20,DC,8.65505589041096,3457.6498021682714,259,120,22.5,804,80,0,0,0,0,0,0,0,0,0,0.32455216585365854,0.08371687609756097,0.053123429268292686,0.46305952390243904,"Census Tract 8.02, District of Columbia, District of Columbia",3,2682,267,343,16.2,53.00484848484849
11001000803,0,0,0.14285714285714288,0.8571428571428571,0,7,DC,8.67014876712329,2574.7492672097933,82,54,29.5,565,121,13,0,0,0,0,0,0,0,0,0.35733741333333335,0.23283358333333334,0.06353596,0.5978278433333333,0,0,0,0,0,0,47.04
11001000804,0,0,0.2666666666666667,0.8666666666666667,0,15,DC,8.67014876712329,3348.3665167031545,67,176,24.5,679,183,6,0,0,1,0,0,0,0,0,0.40897137032786884,0.2542947855737705,0.04280519131147541,0.5525822314754099,0,0,0,0,0,0,61.66851851851852
11001000902,0,0,0.0588235294117647,1,0,17,DC,8.66627424657534,5847.934221497064,35,44,23.9,470,26,0,0,0,0,0,0,0,0,0,0.3797299974,0.13978456179999998,0.0266837818,0.451304041,"Census Tract 9.02, District of Columbia, District of Columbia",1.7,2358,51,52,12.8,59.185
11001000903,0,0,0.23076923076923075,1,0,13,DC,8.67806410958904,4798.644181057728,191,328,24.1,305,77,2,0,0,0,0,0,0,0,0,0.4021551403333333,0.258474716,0.04919935266666667,0.6526883096666667,0,0,0,0,0,0,57.82875
11001000904,0,0,0.0588235294117647,0.8823529411764706,0,17,DC,8.67806410958904,3775.774139902295,86,18,25.3,624,74,0,0,0,0,0,0,0,0,0,0.3907987358695652,0.18505096195652174,0.041172273260869564,0.5935502145652174,0,0,0,0,0,0,62.16473684210526
11001001002,0,0.07692307692307693,0.23076923076923075,0.6923076923076923,0,13,DC,8.67226520547945,5186.98752446515,473,93,29.9,1002,13,1,0,0,0,0,0,3,3,3,0.368123117368421,0.2901098952631579,0.06733555631578947,0.6772250268421053,"Census Tract 10.02, District of Columbia, District of Columbia",0,2722,154,317,14.6,33.30866666666667
11001001003,0,0,0.125,1,0,8,DC,8.67850821917808,4629.6595006699135,310,60,30.1,751,105,0,0,0,0,0,0,31,31,31,0.5650133021428572,0.44195109678571426,0.05619255964285714,0.9301878873214285,0,0,0,0,0,0,57.84490909090909
11001001004,0,0.1,0.25,0.65,0,20,DC,8.67850821917808,4235.63597885901,741,178,29.6,426,53,12,0,0.25,2,0,0,29,29,29,0.6438817884210526,0.335529852631579,0.06652354394736842,1.0080382023684211,0,0,0,0,0,0,45.22361111111111
11001001100,2,0.05263157894736845,0.2894736842105263,0.8157894736842105,0,38,DC,8.67824164383562,4141.5765799227565,779,163,27.2,688,192,9,0,0,1,0,0,30,30,30,0.6923633211702128,0.23178846670212766,0.06964208659574468,1.0218305120212765,"Census Tract 11, District of Columbia, District of Columbia",0.5,4111,391,217,9.2,47.325227272727275
11001001200,0,0.12,0.36,0.8,0,25,DC,8.67382849315069,3965.421138376929,931,156,28.9,1049,59,33,0.08695652173913047,0,1,0,0,46,46,46,0.6749208149230769,0.27978806184615385,0.0683834536923077,1.0179881856923076,"Census Tract 12, District of Columbia, District of Columbia",0,4108,290,373,8.7,50.394999999999996
11001001301,0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0,6,DC,8.67438821917808,3337.636353399936,783,152,29.1,783,79,0,0,0,1,0,0,8,8,8,0.3658880231111111,0.23944795333333335,0.03534910555555556,0.36500955822222225,"Census Tract 13.01, District of Columbia, District of Columbia",2.7,3299,457,366,9.6,63.7425641025641
11001001303,1,0,1,1,0,3,DC,8.67471780821918,4597.815522778492,1257,69,29.3,338,0,26,0,0,0,0,0,0,0,0,0.33393833285714286,0.0916076157142857,0.03049703142857143,0.23666963928571427,0,0,0,0,0,0,58.38083333333333
11001001304,1,0,0.3076923076923077,0.6923076923076923,0,13,DC,8.67471780821918,3051.3803182075794,1273,107,30.6,622,0,13,0.5,0,0,0,0,0,0,0,0.389208985,0.0763764775,0.039150361875,0.255796479375,0,0,0,0,0,0,54.47666666666667
11001001401,0,0,0,0.8947368421052632,0,19,DC,8.68461726027397,5345.982976677,472,50,35,730,49,0,0,0,0,0,0,9,9,9,0.5461840309756097,0.34849656463414636,0.07296044975609757,0.8807166726829267,"Census Tract 14.01, District of Columbia, District of Columbia",1.2,2605,300,268,9.6,56.18972222222222
11001001402,0,0,0.125,0.9166666666666666,0,24,DC,8.68183287671233,4190.4279798878015,392,34,27.9,730,86,0,0,0,0,0,0,6,6,6,0.606965818,0.20170772742857143,0.06095493457142857,0.8779504871428572,"Census Tract 14.02, District of Columbia, District of Columbia",0,2584,332,181,17.7,57.568108108108106
11001001500,0,0.022222222222222233,0.022222222222222216,0.3555555555555555,0,45,DC,8.67379780821918,2886.5108400012655,286,27,33.2,1513,283,0,0,0,0,0,0,30,30,30,0.3748522684782609,0.22250416456521738,0.037297751847826084,0.5540079584782608,"Census Tract 15, District of Columbia, District of Columbia",2.1,5339,454,88,7.6,61.250625
11001001600,0,0,0.08108108108108107,0.918918918918919,0,37,DC,8.65691090410959,3596.3288465721316,257,28,34.6,1183,148,0,0,0,0,0,0,26,26,26,0.44765065555555555,0.25027912877777775,0.05445435588888889,0.703789526,"Census Tract 16, District of Columbia, District of Columbia",2.2,1389,3071,62,6.9,49.974782608695655
11001001702,1,0.047619047619047596,0,0.7619047619047619,0,21,DC,8.63793068493151,4137.367407676701,624,62,35.2,693,110,8,0.14285714285714288,0,1,0,0,6,6,6,0.6383850718867925,0.2384399049056604,0.06821039754716982,0.998709959245283,"Census Tract 17.02, District of Columbia, District of Columbia",1.7,1415,1445,41,13.6,36.66607843137255
11001001803,0,0,0.23529411764705882,0.9411764705882353,0,17,DC,8.66383726027397,4758.713430508181,824,53,34.7,693,116,42,0,0,0,0,0,1,1,1,0.3898759804347826,0.1652338008695652,0.048257330434782614,0.3528843182608696,"Census Tract 18.03, District of Columbia, District of Columbia",26.2,447,2650,17,29.7,44.196
11001001804,0,0,0.07692307692307694,0.8461538461538461,0,13,DC,8.65844328767123,5441.705915892486,560,37,39.2,1003,148,19,0,0,3,0,0,2,2,2,0.5063045042424242,0.2284845096969697,0.07015502757575758,0.7886402093939394,"Census Tract 18.04, District of Columbia, District of Columbia",21.6,559,3834,125,29.1,28.118214285714288
11001001901,0,0.0909090909090909,0.2727272727272727,0.9090909090909091,0,11,DC,8.6469805479452,3443.7201098274354,791,47,33.8,684,289,8,0,0,0,0,0,16,16,16,0.7509949134545455,0.3600559869090909,0.07508281490909091,1.158847740909091,"Census Tract 19.01, District of Columbia, District of Columbia",9.1,864,2626,208,11.6,25.93
11001001902,0,0.1111111111111111,0,0.8888888888888888,0,9,DC,8.64542465753425,2953.988371657582,212,28,33.7,474,54,18,0,0,0,0,0,12,12,12,0.593984152,0.201956011,0.0739123155,0.95948156,"Census Tract 19.02, District of Columbia, District of Columbia",6.2,519,1724,15,18.1,31.94815789473684
11001002001,0,0,0.11111111111111108,0.8333333333333333,0,18,DC,8.66005890410959,5530.894021760442,624,8,33.7,671,38,14,0,0,1,0,0,0,0,0,0.504722264,0.1486343544,0.0536730432,0.4595329716,"Census Tract 20.01, District of Columbia, District of Columbia",5.5,835,1396,77,28.9,37.94833333333333
11001002002,0,0.08695652173913045,0.21739130434782608,0.8260869565217391,0,23,DC,8.65976520547945,5361.025776180439,428,126,34.5,789,160,27,0,0,0,0,0,4,4,4,0.7253723070212765,0.17695086,0.07156920914893618,1.040954364680851,"Census Tract 20.02, District of Columbia, District of Columbia",8,1107,2326,66,21.3,33.0875
11001002101,0,0.05882352941176469,0.3529411764705882,0.9411764705882353,0,17,DC,8.65972657534247,3575.6626346874423,860,24,38.3,1609,137,0,0,0,0,0,0,0,0,0,0.7722804012820513,0.3565908323076923,0.07363263743589744,1.177862142820513,"Census Tract 21.01, District of Columbia, District of Columbia",10.9,457,3366,178,19.7,26.274736842105263
